16,blippet016,Blippet 016,steel,,101,69,98,54,94,37,rare,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
17,blippet017,Blippet 017,fairy,ground,49,52,48,49,53,51,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
18,blippet018,Blippet 018,crystal,,45,95,34,86,38,88,uncommon,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
19,blippet019,Blippet 019,normal,,49,70,41,31,38,65,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
20,blippet020,Blippet 020,fire,flying,36,69,30,63,30,66,common,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
21,blippet021,Blippet 021,water,grass,51,104,45,95,42,107,rare,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
22,blippet022,Blippet 022,grass,,88,46,75,51,90,35,uncommon,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
23,blippet023,Blippet 023,electric,,95,49,90,67,105,38,rare,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
24,blippet024,Blippet 024,ice,,66,47,71,34,59,24,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
25,blippet025,Blippet 025,fighting,fairy,70,44,69,36,60,23,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
26,blippet026,Blippet 026,poison,,76,58,72,124,81,107,legendary,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
27,blippet027,Blippet 027,ground,,88,59,88,40,74,32,uncommon,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
28,blippet028,Blippet 028,flying,,46,30,42,73,47,61,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
29,blippet029,Blippet 029,psychic,fairy,64,44,65,34,60,24,common,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
30,blippet030,Blippet 030,bug,fighting,34,68,29,65,31,75,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
31,blippet031,Blippet 031,rock,,61,61,66,64,64,63,uncommon,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
32,blippet032,Blippet 032,ghost,,42,33,44,71,45,65,common,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
33,blippet033,Blippet 033,dragon,fighting,62,63,59,63,61,59,uncommon,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
34,blippet034,Blippet 034,dark,,73,47,65,32,61,25,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
35,blippet035,Blippet 035,steel,,45,73,40,32,44,70,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
36,blippet036,Blippet 036,fairy,steel,62,32,61,43,65,27,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
37,blippet037,Blippet 037,crystal,,66,45,65,34,58,25,common,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
38,blippet038,Blippet 038,normal,,45,90,37,85,36,86,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
39,blippet039,Blippet 039,fire,,33,77,29,68,29,67,common,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
40,blippet040,Blippet 040,water,fairy,42,95,36,77,38,92,uncommon,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
41,blippet041,Blippet 041,grass,,50,52,48,47,52,52,common,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
42,blippet042,Blippet 042,electric,,70,47,68,103,70,88,rare,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
43,blippet043,Blippet 043,ice,,50,69,42,32,42,70,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
44,blippet044,Blippet 044,fighting,,51,50,50,52,48,47,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
45,blippet045,Blippet 045,poison,ground,95,54,90,67,110,38,rare,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
46,blippet046,Blippet 046,ground,,69,34,67,41,63,25,common,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
47,blippet047,Blippet 047,flying,,85,42,80,52,87,33,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
48,blippet048,Blippet 048,psychic,,101,69,103,56,83,37,rare,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
49,blippet049,Blippet 049,bug,,52,51,54,50,50,53,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
50,blippet050,Blippet 050,rock,,45,74,41,33,43,62,common,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
51,blippet051,Blippet 051,ghost,,48,73,40,33,39,71,common,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
52,blippet052,Blippet 052,dragon,normal,88,58,84,44,72,33,uncommon,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
53,blippet053,Blippet 053,dark,,48,32,40,68,44,59,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
54,blippet054,Blippet 054,steel,,48,31,40,76,51,64,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
55,blippet055,Blippet 055,fairy,,59,63,62,62,60,59,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
56,blippet056,Blippet 056,crystal,,49,52,47,54,52,51,common,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
57,blippet057,Blippet 057,normal,,86,57,90,43,75,28,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
58,blippet058,Blippet 058,fire,flying,114,80,129,63,98,46,legendary,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
59,blippet059,Blippet 059,water,normal,64,49,67,33,60,25,common,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
60,blippet060,Blippet 060,grass,,48,75,39,32,39,64,common,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
61,blippet061,Blippet 061,electric,ghost,66,34,66,42,67,28,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
62,blippet062,Blippet 062,ice,normal,52,46,48,46,50,46,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
63,blippet063,Blippet 063,fighting,,78,42,85,48,82,34,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
64,blippet064,Blippet 064,poison,,57,41,54,87,64,78,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
65,blippet065,Blippet 065,ground,ice,71,47,64,114,72,102,rare,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
66,blippet066,Blippet 066,flying,,62,35,68,42,66,27,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
67,blippet067,Blippet 067,psychic,,75,70,80,80,77,76,rare,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
68,blippet068,Blippet 068,bug,,68,67,65,68,60,67,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
69,blippet069,Blippet 069,rock,,63,47,68,37,56,24,common,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
70,blippet070,Blippet 070,ghost,,45,33,40,70,45,65,common,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
71,blippet071,Blippet 071,dragon,steel,60,99,53,41,49,91,uncommon,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
72,blippet072,Blippet 072,dark,,46,69,41,33,43,72,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
73,blippet073,Blippet 073,steel,water,34,76,31,70,30,71,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
74,blippet074,Blippet 074,fairy,electric,48,112,42,102,43,99,rare,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
75,blippet075,Blippet 075,crystal,dragon,81,71,72,78,75,70,rare,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
76,blippet076,Blippet 076,normal,,69,48,73,32,59,24,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
77,blippet077,Blippet 077,fire,rock,65,36,59,39,64,28,common,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
78,blippet078,Blippet 078,water,,34,69,28,62,30,71,common,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
79,blippet079,Blippet 079,grass,,34,78,27,60,30,69,common,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
80,blippet080,Blippet 080,electric,,44,69,40,31,44,64,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
81,blippet081,Blippet 081,ice,,68,46,68,35,63,24,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
82,blippet082,Blippet 082,fighting,,44,89,39,77,37,85,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
83,blippet083,Blippet 083,poison,,91,59,93,43,72,33,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
84,blippet084,Blippet 084,ground,,49,28,41,70,48,68,common,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
85,blippet085,Blippet 085,flying,,32,74,31,68,27,69,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
86,blippet086,Blippet 086,psychic,ghost,45,30,42,65,51,63,common,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
87,blippet087,Blippet 087,bug,flying,86,60,90,43,71,28,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
88,blippet088,Blippet 088,rock,,83,42,87,53,85,34,uncommon,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
89,blippet089,Blippet 089,ghost,,52,47,47,52,50,52,common,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
90,blippet090,Blippet 090,dragon,,67,31,68,41,73,28,common,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
91,blippet091,Blippet 091,dark,,40,98,34,80,40,95,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
92,blippet092,Blippet 092,steel,,47,52,49,52,47,48,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
93,blippet093,Blippet 093,fairy,,97,95,97,87,94,95,legendary,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
94,blippet094,Blippet 094,crystal,,55,91,55,42,49,79,uncommon,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
95,blippet095,Blippet 095,normal,,50,72,40,31,41,72,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
96,blippet096,Blippet 096,fire,,64,43,63,102,77,94,rare,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
97,blippet097,Blippet 097,water,fairy,68,47,61,114,67,97,rare,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
98,blippet098,Blippet 098,grass,,60,64,60,61,61,61,uncommon,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
99,blippet099,Blippet 099,electric,,61,91,49,37,53,83,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
100,blippet100,Blippet 100,ice,,67,35,67,42,72,26,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
101,blippet101,Blippet 101,fighting,,96,92,95,94,89,87,legendary,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
102,blippet102,Blippet 102,poison,fairy,73,45,67,33,62,26,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
103,blippet103,Blippet 103,ground,,45,28,40,67,51,60,common,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
104,blippet104,Blippet 104,flying,,60,68,68,68,61,68,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
105,blippet105,Blippet 105,psychic,,33,75,31,62,31,74,common,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
106,blippet106,Blippet 106,bug,,40,90,35,85,38,94,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
107,blippet107,Blippet 107,rock,,65,60,59,62,61,60,uncommon,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
108,blippet108,Blippet 108,ghost,,34,75,27,68,30,75,common,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
109,blippet109,Blippet 109,dragon,,49,76,42,29,43,62,common,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
110,blippet110,Blippet 110,dark,,55,94,51,39,54,87,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
111,blippet111,Blippet 111,steel,,95,48,93,60,105,39,rare,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
112,blippet112,Blippet 112,fairy,dragon,126,65,113,70,117,50,legendary,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
113,blippet113,Blippet 113,crystal,steel,68,106,66,44,60,101,rare,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
114,blippet114,Blippet 114,normal,,80,40,78,55,93,33,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
115,blippet115,Blippet 115,fire,,54,38,54,90,64,74,uncommon,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
116,blippet116,Blippet 116,water,,55,35,52,88,64,79,uncommon,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
117,blippet117,Blippet 117,grass,,70,46,64,32,60,24,common,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
118,blippet118,Blippet 118,electric,dark,77,134,69,60,70,128,legendary,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
119,blippet119,Blippet 119,ice,,66,45,70,37,62,25,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
120,blippet120,Blippet 120,fighting,,32,75,30,65,27,66,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
121,blippet121,Blippet 121,poison,,67,35,68,43,72,25,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
122,blippet122,Blippet 122,ground,poison,52,50,54,51,53,51,common,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
123,blippet123,Blippet 123,flying,water,53,48,47,52,51,49,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
124,blippet124,Blippet 124,psychic,,33,78,28,67,27,75,common,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
125,blippet125,Blippet 125,bug,,64,37,67,42,68,29,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
126,blippet126,Blippet 126,rock,,72,50,66,32,59,25,common,adaptable;hardy,1:rock-throw;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
127,blippet127,Blippet 127,ghost,,43,85,39,76,39,94,uncommon,adaptable;hardy,1:shadow-sneak;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
128,blippet128,Blippet 128,dragon,,55,37,58,93,60,74,uncommon,adaptable;hardy,1:dragon-breath;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
129,blippet129,Blippet 129,dark,,48,72,42,30,43,66,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
130,blippet130,Blippet 130,steel,,73,48,66,33,61,23,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
131,blippet131,Blippet 131,fairy,,61,91,49,38,56,83,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
132,blippet132,Blippet 132,crystal,,47,69,41,33,44,66,common,adaptable;hardy,1:crystal-shard;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
133,blippet133,Blippet 133,normal,,72,49,67,33,60,24,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
134,blippet134,Blippet 134,fire,,47,31,44,66,46,62,common,adaptable;hardy,1:ember;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
135,blippet135,Blippet 135,water,,59,59,66,67,67,58,uncommon,adaptable;hardy,1:water-gun;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
136,blippet136,Blippet 136,grass,ground,43,70,44,31,40,62,common,adaptable;hardy,1:razor-leaf;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
137,blippet137,Blippet 137,electric,,48,50,46,49,50,47,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
138,blippet138,Blippet 138,ice,,32,78,29,66,27,70,common,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
139,blippet139,Blippet 139,fighting,,43,94,37,89,36,96,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
140,blippet140,Blippet 140,poison,,63,86,54,37,50,84,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
141,blippet141,Blippet 141,ground,,49,54,52,46,48,48,common,adaptable;hardy,1:mud-shot;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
142,blippet142,Blippet 142,flying,,43,93,36,87,37,91,uncommon,adaptable;hardy,1:tackle;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
143,blippet143,Blippet 143,psychic,,52,46,50,54,50,50,common,adaptable;hardy,1:confusion;1:scratch;7:headbutt,,,"Unregistered Blippet. Replace name, types, and stats in data/blippets.csv."
